iter	Passed	Remaining
0	0	59
1	1	52
2	1	50
3	1	45
4	2	44
5	2	43
6	3	43
7	3	42
8	4	41
9	4	41
10	5	40
11	5	40
12	5	39
13	6	39
14	6	38
15	7	38
16	7	37
17	8	37
18	8	36
19	9	36
20	9	35
21	9	35
22	10	34
23	10	34
24	11	33
25	11	33
26	12	32
27	12	32
28	13	32
29	13	31
30	14	31
31	14	31
32	15	31
33	15	30
34	16	30
35	17	30
36	17	30
37	18	29
38	18	29
39	19	29
40	19	28
41	20	27
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	34	16
67	34	16
68	34	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	47	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	50	1
97	51	1
98	51	0
99	52	0
